Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"22,323.00","22,323.00","1,339.38"
2,"22,323.01","25,516.00","23,919.50","1,435.17"
3,"25,516.01","28,709.00","27,112.50","1,626.75"
4,"28,709.01","31,902.00","30,305.50","1,818.33"
5,"31,902.01","35,095.00","33,498.50","2,009.91"
6,"35,095.01","38,288.00","36,691.50","2,201.49"
7,"38,288.01","41,481.00","39,884.50","2,393.07"
8,"41,481.01","44,674.00","43,077.50","2,584.65"
9,"44,674.01","47,867.00","46,270.50","2,776.23"
10,"47,867.01","51,060.00","49,463.50","2,967.81"
