Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"12,932.00","12,932.00",654.36
2,"12,932.01","15,842.00","14,387.00",727.98
3,"15,842.01","18,752.00","17,297.00",875.23
4,"18,752.01","21,662.00","20,207.00","1,022.47"
5,"21,662.01","24,572.00","23,117.00","1,169.72"
6,"24,572.01","27,482.00","26,027.00","1,316.97"
7,"27,482.01","30,392.00","28,937.00","1,464.21"
8,"30,392.01","33,302.00","31,847.00","1,611.46"
9,"33,302.01","36,212.00","34,757.00","1,758.70"
10,"36,212.01","39,122.00","37,667.00","1,905.95"
