Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"15,591.00","15,591.00","1,683.83"
2,"15,591.01","17,284.00","16,437.50","1,775.25"
3,"17,284.01","18,977.00","18,130.50","1,958.09"
4,"18,977.01","20,670.00","19,823.50","2,140.94"
5,"20,670.01","22,363.00","21,516.50","2,323.78"
6,"22,363.01","24,056.00","23,209.50","2,506.63"
7,"24,056.01","25,749.00","24,902.50","2,689.47"
8,"25,749.01","27,442.00","26,595.50","2,872.31"
9,"27,442.01","29,135.00","28,288.50","3,055.16"
10,"29,135.01","30,828.00","29,981.50","3,238.00"
