Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"13,396.00","13,396.00","1,259.22"
2,"13,396.01","16,139.00","14,767.50","1,388.15"
3,"16,139.01","18,882.00","17,510.50","1,645.99"
4,"18,882.01","21,625.00","20,253.50","1,903.83"
5,"21,625.01","24,368.00","22,996.50","2,161.67"
6,"24,368.01","27,111.00","25,739.50","2,419.51"
7,"27,111.01","29,854.00","28,482.50","2,677.36"
8,"29,854.01","32,597.00","31,225.50","2,935.20"
9,"32,597.01","35,340.00","33,968.50","3,193.04"
10,"35,340.01","38,083.00","36,711.50","3,450.88"
