Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"11,067.00","11,067.00",962.83
2,"11,067.01","13,457.00","12,262.00","1,066.79"
3,"13,457.01","15,847.00","14,652.00","1,274.72"
4,"15,847.01","18,237.00","17,042.00","1,482.65"
5,"18,237.01","20,627.00","19,432.00","1,690.58"
6,"20,627.01","23,017.00","21,822.00","1,898.51"
7,"23,017.01","25,407.00","24,212.00","2,106.44"
8,"25,407.01","27,797.00","26,602.00","2,314.37"
9,"27,797.01","30,187.00","28,992.00","2,522.30"
10,"30,187.01","32,577.00","31,382.00","2,730.23"
