Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"11,744.00","11,744.00","1,032.30"
2,"11,744.01","13,394.00","12,569.00","1,104.82"
3,"13,394.01","15,044.00","14,219.00","1,249.85"
4,"15,044.01","16,694.00","15,869.00","1,394.89"
5,"16,694.01","18,344.00","17,519.00","1,539.92"
6,"18,344.01","19,994.00","19,169.00","1,684.96"
7,"19,994.01","21,644.00","20,819.00","1,829.99"
8,"21,644.01","23,294.00","22,469.00","1,975.03"
9,"23,294.01","24,944.00","24,119.00","2,120.06"
10,"24,944.01","26,594.00","25,769.00","2,265.10"
