Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"17,842.00","17,842.00","1,052.68"
2,"17,842.01","20,910.00","19,376.00","1,143.18"
3,"20,910.01","23,978.00","22,444.00","1,324.20"
4,"23,978.01","27,046.00","25,512.00","1,505.21"
5,"27,046.01","30,114.00","28,580.00","1,686.22"
6,"30,114.01","33,182.00","31,648.00","1,867.23"
7,"33,182.01","36,250.00","34,716.00","2,048.24"
8,"36,250.01","39,318.00","37,784.00","2,229.26"
9,"39,318.01","42,386.00","40,852.00","2,410.27"
10,"42,386.01","45,454.00","43,920.00","2,591.28"
