Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"12,747.00","12,747.00",643.72
2,"12,747.01","15,493.00","14,120.00",713.06
3,"15,493.01","18,239.00","16,866.00",851.73
4,"18,239.01","20,985.00","19,612.00",990.41
5,"20,985.01","23,731.00","22,358.00","1,129.08"
6,"23,731.01","26,477.00","25,104.00","1,267.75"
7,"26,477.01","29,223.00","27,850.00","1,406.43"
8,"29,223.01","31,969.00","30,596.00","1,545.10"
9,"31,969.01","34,715.00","33,342.00","1,683.77"
10,"34,715.01","37,461.00","36,088.00","1,822.44"
