Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"15,050.00","15,050.00","1,429.75"
2,"15,050.01","16,650.00","15,850.00","1,505.75"
3,"16,650.01","18,250.00","17,450.00","1,657.75"
4,"18,250.01","19,850.00","19,050.00","1,809.75"
5,"19,850.01","21,450.00","20,650.00","1,961.75"
6,"21,450.01","23,050.00","22,250.00","2,113.75"
7,"23,050.01","24,650.00","23,850.00","2,265.75"
8,"24,650.01","26,250.00","25,450.00","2,417.75"
9,"25,250.01","27,850.00","27,050.00","2,569.75"
10,"27,850.01","29,450.00","28,650.00","2,721.75"
