Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"19,991.00","19,991.00","2,099.06"
2,"19,991.01","22,435.00","21,213.00","2,227.37"
3,"22,435.01","24,879.00","23,657.00","2,483.99"
4,"24,879.01","27,323.00","26,101.00","2,740.61"
5,"27,323.01","29,767.00","28,545.00","2,997.23"
6,"29,767.01","32,211.00","30,989.00","3,253.85"
7,"32,211.01","34,655.00","33,433.00","3,510.47"
8,"34,655.01","37,099.00","35,877.00","3,767.09"
9,"37,099.01","39,543.00","38,321.00","4,023.71"
10,"39,543.01","41,987.00","40,765.00","4,280.33"
