,,1st,2nd,3rd,4th,5th,6th,7th,8th
Federal,A,0,"57,375","114,750","177,882","253,414",,,
,R,0.14,0.205,0.26,0.29,0.33,,,
,K,0,"3,729","10,041","15,377","25,514",,,
AB,A,0,"60,000","151,234","181,481","241,974","362,961",,
,V,0.06,0.1,0.12,0.13,0.14,0.15,,
,KP,0,"2,400","5,425","7,239","9,659","13,289",,
BC,A,0,"49,279","98,560","113,158","137,407","186,306","259,829",
,V,0.0506,0.077,0.105,0.1229,0.147,0.168,0.205,
,KP,0,"1,301","4,061","6,086","9,398","13,310","22,924",
MB,A,0,"46,513","98,796",,,,,
,V,0.108,0.1275,0.174,,,,,
,KP,0,907,"5,501",,,,,
NB,A,0,"51,306","102,614","190,060",,,,
,V,0.094,0.14,0.16,0.195,,,,
,KP,0,"2,360","4,412","11,064",,,,
NL,A,0,"44,192","88,382","157,792","220,910","282,214","564,429","1,128,858"
,V,0.087,0.145,0.158,0.178,0.198,0.208,0.213,0.218
,KP,0,"2,563","3,712","6,868","11,286","14,108","16,930","22,575"
NS,A,0,"30,507","61,015","95,883","154,650",,,
,V,0.0879,0.1495,0.1667,0.175,0.21,,,
,KP,0,"1,879","2,929","3,725","9,137",,,
NT,A,0,"51,964","103,930","168,967",,,,
,V,0.059,0.086,0.122,0.1405,,,,
,KP,0,"1,403","5,145","8,270",,,,
NU,A,0,"54,707","109,413","177,881",,,,
,V,0.04,0.07,0.09,0.115,,,,
,KP,0,"1,641","3,829","8,276",,,,
ON,A,0,"52,886","105,775","150,000","220,000",,,
,V,0.0505,0.0915,0.1116,0.1216,0.1316,,,
,KP,0,"2,168","4,294","5,794","7,994",,,
PE,A,0,"33,328","64,656","105,000","140,000",,,
,V,0.095,0.1347,0.166,0.1762,0.19,,,
,KP,0,"1,323","3,347","4,418","6,350",,,
SK,A,0,"53,463","152,750",,,,,
,V,0.105,0.125,0.145,,,,,
,KP,0,"1,069","4,124",,,,,
YT,A,0,"57,375","114,750","177,882","500,000",,,
,V,0.064,0.09,0.109,0.128,0.15,,,
,KP,0,"1,492","3,672","7,052","18,052",,,
